update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer
1,0,54,88.735,backward,80.911,0.3176,0.5203,0.0005
1,1,3711,10070.183,off_track,114.103,0.2947,0.0569,0.0005
1,2,3742,9968.533,off_track,113.470,0.2979,0.0574,0.0018
2,3,155,-158.832,low_progress,57.508,0.6105,0.3217,-0.0077
2,4,3045,7819.644,off_track,111.643,0.2981,0.0529,-0.0003
2,5,3914,9683.688,off_track,110.255,0.3070,0.0685,-0.0022
3,6,95,-86.808,off_track,134.400,0.2733,0.1537,-0.0134
3,7,3943,9612.344,off_track,109.415,0.3066,0.0695,-0.0068
3,8,3961,9566.506,off_track,108.873,0.3095,0.0696,-0.0066
4,9,134,-81.887,off_track,106.371,0.6673,0.3100,0.0026
4,10,3991,9404.722,off_track,108.058,0.3120,0.0725,0.0012
4,11,4001,9361.780,off_track,107.732,0.3134,0.0722,0.0029
5,12,167,456.288,off_track,145.812,0.4268,0.1622,0.0100
5,13,4031,9305.699,off_track,106.920,0.3154,0.0743,0.0075
6,14,42,-145.462,off_track,28.539,1.0216,0.5313,0.0011
6,15,4041,9321.990,off_track,106.662,0.3126,0.0726,0.0061
6,16,4044,9286.530,off_track,106.575,0.3152,0.0733,0.0063
7,17,131,-502.336,off_track,185.992,0.3754,0.1012,0.0034
7,18,4055,9277.186,off_track,106.286,0.3148,0.0739,-0.0006
8,19,42,-140.270,off_track,26.029,1.0031,0.5437,0.0233
8,20,4057,9163.578,off_track,106.250,0.3184,0.0735,0.0105
8,21,4062,9105.757,off_track,106.142,0.3206,0.0748,0.0104
9,22,47,75.719,backward,90.312,0.2880,0.6249,0.0052
9,23,4065,9125.949,off_track,106.064,0.3205,0.0743,-0.0017
9,24,3823,9806.939,off_track,110.995,0.2990,0.0563,-0.0026
10,25,39,-27.199,off_track,88.666,0.6110,0.6200,-0.0013
10,26,4068,9343.260,off_track,105.931,0.3127,0.0725,-0.0053
10,27,4073,9272.578,off_track,105.818,0.3128,0.0734,-0.0051
11,28,4078,9219.853,off_track,105.686,0.3151,0.0736,-0.0036
11,29,4093,9065.010,off_track,105.368,0.3167,0.0766,-0.0048
12,30,57,108.517,backward,95.403,0.2585,0.5328,-0.0029
12,31,4084,9125.984,off_track,105.533,0.3198,0.0736,0.0048
13,32,43,-147.771,off_track,24.895,0.9970,0.5219,-0.0031
13,33,4086,9167.094,off_track,105.518,0.3156,0.0736,-0.0014
14,34,19,-113.366,off_track,28.234,1.1437,0.4394,-0.0335
14,35,4099,9000.065,off_track,105.190,0.3218,0.0767,0.0070
15,36,12,-86.987,off_track,29.171,1.1999,0.4376,-0.0207
15,37,4086,9189.798,off_track,105.500,0.3162,0.0736,0.0004
15,38,4092,9080.827,off_track,105.355,0.3200,0.0753,0.0031
16,39,37,49.747,backward,69.331,0.2733,0.6176,-0.0290
16,40,4088,9102.382,off_track,105.443,0.3197,0.0747,0.0008
17,41,20,-117.879,off_track,27.789,1.1431,0.4545,-0.0389
17,42,4080,9178.017,off_track,105.658,0.3183,0.0737,0.0011
17,43,4083,9144.916,off_track,105.596,0.3195,0.0741,0.0030
18,44,41,45.138,backward,74.523,0.3399,0.6354,0.0128
18,45,4081,9126.320,off_track,105.638,0.3210,0.0751,0.0007
