update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer
1,0,57,89.713,backward,78.183,0.2763,0.5323,0.0018
1,1,4050,9621.847,off_track,106.278,0.2969,0.0666,0.0002
1,2,4063,9487.290,off_track,105.972,0.3003,0.0699,0.0012
2,3,44,-20.423,off_track,92.832,0.5604,0.6126,0.0015
2,4,4051,9538.239,off_track,106.280,0.2988,0.0682,0.0049
2,5,4052,9584.794,off_track,106.260,0.2994,0.0681,0.0053
3,6,61,142.500,off_track,154.145,0.4675,0.2020,-0.0022
3,7,4060,9506.535,off_track,106.037,0.3015,0.0717,0.0045
3,8,4046,9579.814,off_track,106.402,0.3004,0.0686,0.0052
4,9,80,23.220,off_track,88.081,0.4450,0.6601,0.0082
4,10,4057,9398.691,off_track,106.151,0.3047,0.0715,0.0044
4,11,4046,9553.727,off_track,106.406,0.3007,0.0682,0.0063
5,12,52,48.475,backward,74.674,0.3742,0.6483,0.0233
5,13,4045,9453.540,off_track,106.427,0.3045,0.0683,0.0131
5,14,4046,9516.785,off_track,106.419,0.3014,0.0691,0.0111
6,15,75,194.507,off_track,169.989,0.4697,0.1434,-0.0055
6,16,4043,9533.575,off_track,106.500,0.3015,0.0682,0.0081
6,17,4052,9379.956,off_track,106.277,0.3061,0.0712,0.0091
7,18,44,5.739,off_track,110.742,0.5532,0.4694,0.0290
7,19,4045,9451.175,off_track,106.453,0.3048,0.0689,0.0095
7,20,4046,9460.743,off_track,106.436,0.3051,0.0694,0.0083
8,21,73,165.984,off_track,175.844,0.4698,0.1412,-0.0034
8,22,4044,9475.192,off_track,106.477,0.3031,0.0705,0.0080
8,23,4044,9522.661,off_track,106.501,0.3028,0.0689,0.0074
9,24,44,66.105,backward,82.268,0.2027,0.6746,0.0085
9,25,4042,9494.206,off_track,106.546,0.3016,0.0696,0.0024
9,26,4043,9602.392,off_track,106.515,0.2981,0.0682,0.0020
10,27,157,-243.715,off_track,172.956,0.5023,0.1333,-0.0006
10,28,4045,9528.359,off_track,106.468,0.3001,0.0686,0.0030
11,29,4042,9524.868,off_track,106.557,0.3015,0.0694,-0.0017
11,30,4052,9471.591,off_track,106.290,0.3028,0.0715,-0.0004
12,31,92,194.191,off_track,155.469,0.5183,0.1143,0.0108
12,32,4040,9542.792,off_track,106.602,0.3012,0.0683,0.0001
12,33,4039,9535.868,off_track,106.636,0.3012,0.0684,0.0002
13,34,45,-25.264,backward,66.090,0.5243,0.8221,0.0238
13,35,4047,9519.549,off_track,106.415,0.3018,0.0689,0.0081
13,36,4043,9537.436,off_track,106.519,0.3031,0.0687,0.0084
14,37,56,110.048,off_track,165.876,0.6398,0.1438,0.0282
14,38,4050,9423.363,off_track,106.363,0.3055,0.0700,0.0085
14,39,4040,9559.530,off_track,106.598,0.3005,0.0676,0.0070
15,40,206,-267.403,off_track,143.266,0.5693,0.1066,-0.0059
15,41,4041,9516.664,off_track,106.576,0.3040,0.0680,0.0117
16,42,203,-331.618,off_track,40.291,0.4719,0.3344,0.0212
16,43,4042,9512.803,off_track,106.564,0.3006,0.0687,0.0079
17,44,171,-284.031,off_track,40.654,0.4651,0.3457,0.0168
17,45,4038,9530.837,off_track,106.657,0.3010,0.0683,0.0064
18,46,56,-131.708,off_track,40.720,0.8932,0.4457,0.0178
18,47,4039,9525.952,off_track,106.625,0.3024,0.0688,0.0077
18,48,4033,9582.549,off_track,106.800,0.2994,0.0677,0.0083
19,49,70,106.036,off_track,182.464,0.5873,0.1017,0.0270
19,50,4038,9478.685,off_track,106.696,0.3004,0.0696,0.0041
19,51,4030,9573.012,off_track,106.879,0.3001,0.0677,0.0053
20,52,72,151.057,off_track,174.738,0.5973,0.1041,0.0253
20,53,4035,9458.928,off_track,106.739,0.3056,0.0689,0.0120
20,54,3872,9762.722,off_track,109.625,0.2943,0.0566,0.0128
21,55,4035,9401.861,off_track,106.770,0.3073,0.0688,0.0162
21,56,4046,9279.768,off_track,106.492,0.3117,0.0717,0.0131
22,57,76,88.520,off_track,125.440,0.5158,0.1815,0.0063
22,58,4038,9412.699,off_track,106.709,0.3069,0.0690,0.0134
22,59,4036,9409.645,off_track,106.752,0.3095,0.0691,0.0152
23,60,50,33.539,off_track,106.246,0.4526,0.5589,0.0214
23,61,4040,9475.055,off_track,106.647,0.3041,0.0692,0.0092
23,62,4037,9481.571,off_track,106.724,0.3043,0.0693,0.0112
24,63,231,364.345,low_progress,101.279,0.3244,0.1185,-0.0110
24,64,4041,9350.588,off_track,106.653,0.3075,0.0704,0.0096
25,65,74,-147.334,off_track,32.207,0.5472,0.6644,0.0129
