update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer
1,0,54,88.739,backward,80.916,0.3176,0.5202,0.0005
2,1,239,390.856,off_track,117.375,0.3426,0.1147,0.0009
3,2,137,53.582,off_track,68.836,0.6511,0.0585,-0.0016
5,3,454,1913.012,off_track,141.070,0.2029,0.1443,-0.0030
7,4,792,2101.330,off_track,125.845,0.2956,0.0958,0.0089
8,5,288,952.222,low_progress,117.412,0.2312,0.2344,0.0113
10,6,647,1768.704,off_track,127.165,0.3331,0.1258,0.0048
13,7,329,1391.907,off_track,145.427,0.1831,0.2039,0.0055
14,8,577,313.529,off_track,87.973,0.4789,0.1106,-0.0028
15,9,782,420.462,off_track,82.889,0.3748,0.0903,-0.0007
16,10,268,813.725,off_track,120.793,0.2535,0.2221,0.0007
18,11,622,1776.802,off_track,129.639,0.3491,0.1166,-0.0077
20,12,958,2629.295,off_track,121.955,0.3233,0.1066,0.0104
23,13,310,1446.084,off_track,151.289,0.1673,0.1535,-0.0028
24,14,529,412.041,off_track,91.739,0.4838,0.0929,-0.0051
25,15,453,-252.338,off_track,60.591,0.3536,0.1159,-0.0069
27,16,787,2216.046,off_track,125.342,0.2884,0.1203,-0.0141
30,17,90,49.658,off_track,101.404,0.3444,0.4208,-0.0027
32,18,190,391.468,off_track,118.936,0.3001,0.1102,-0.0072
33,19,386,447.898,off_track,102.936,0.4826,0.1155,-0.0020
35,20,742,1799.780,off_track,122.462,0.3188,0.1393,-0.0145
36,21,992,1063.308,off_track,91.703,0.3536,0.0968,-0.0160
37,22,207,791.663,off_track,133.822,0.1978,0.2030,-0.0314
39,23,522,1760.044,off_track,137.667,0.3411,0.1035,-0.0306
42,24,195,334.921,off_track,113.775,0.2872,0.1647,0.0105
43,25,93,15.971,off_track,72.483,0.7270,0.0803,0.0217
45,26,424,1787.593,off_track,139.868,0.1824,0.1974,0.0402
46,27,620,506.135,off_track,85.658,0.4550,0.0878,0.0199
47,28,527,213.443,off_track,70.283,0.3334,0.0833,0.0347
48,29,442,-145.974,off_track,60.809,0.3715,0.1024,0.0212
49,30,342,90.287,off_track,60.880,0.4439,0.0654,0.0294
50,31,534,474.587,off_track,89.665,0.4899,0.0997,0.0238
52,32,192,341.905,off_track,119.508,0.3027,0.0805,0.0129
53,33,83,7.494,off_track,73.657,0.7670,0.0822,0.0162
54,34,294,310.404,off_track,111.875,0.4127,0.1327,0.0094
55,35,189,108.111,off_track,64.431,0.6390,0.0415,0.0257
56,36,88,9.922,off_track,72.020,0.7588,0.0832,0.0170
58,37,412,1789.643,off_track,147.174,0.1785,0.1047,0.0320
59,38,601,449.212,off_track,85.974,0.4328,0.1012,0.0072
63,39,325,1316.103,off_track,141.464,0.1993,0.2421,0.0171
64,40,522,465.808,off_track,91.513,0.4734,0.0884,0.0122
65,41,431,-94.097,off_track,61.042,0.3962,0.0799,0.0263
67,42,777,1840.414,off_track,122.892,0.3245,0.1311,0.0189
68,43,264,659.067,off_track,121.171,0.3180,0.2220,0.0191
69,44,167,61.643,off_track,66.599,0.5912,0.0484,-0.0038
70,45,62,-34.816,off_track,78.757,0.8278,0.1080,-0.0044
72,46,205,330.214,off_track,114.336,0.2971,0.1004,0.0013
73,47,399,417.588,off_track,101.802,0.4988,0.1165,0.0022
74,48,620,398.018,off_track,86.756,0.4638,0.0836,0.0052
75,49,819,444.413,off_track,84.426,0.3699,0.1003,0.0024
76,50,321,1005.802,low_progress,116.965,0.2751,0.2218,-0.0061
79,51,327,1440.761,off_track,136.858,0.1943,0.0400,-0.0182
80,52,521,562.754,off_track,90.779,0.4530,0.0915,-0.0172
82,53,395,422.144,off_track,92.915,0.3275,0.0928,-0.0244
84,54,712,1900.516,off_track,124.379,0.3062,0.1246,-0.0225
85,55,269,642.554,off_track,100.646,0.2590,0.3140,-0.0317
87,56,606,1745.616,off_track,129.956,0.3471,0.1134,-0.0319
92,57,198,413.245,off_track,115.128,0.3236,0.1554,-0.0386
93,58,405,531.685,off_track,101.476,0.4571,0.1118,-0.0444
94,59,637,465.078,off_track,85.969,0.3614,0.0753,-0.0516
95,60,835,625.024,off_track,85.803,0.3148,0.1127,-0.0718
96,61,329,926.434,off_track,120.718,0.2998,0.1874,-0.0729
97,62,108,-65.468,low_progress,47.136,0.1866,0.3054,-0.0732
98,63,326,394.024,off_track,110.224,0.4510,0.0845,-0.0361
100,64,725,1784.336,off_track,121.949,0.3396,0.1251,-0.0669
102,65,393,324.467,off_track,92.075,0.3647,0.1186,-0.0290
103,66,794,528.992,off_track,83.307,0.3767,0.0753,-0.0609
104,67,296,962.715,low_progress,116.908,0.2753,0.2286,-0.0672
105,68,473,601.074,off_track,93.173,0.4048,0.1170,-0.0674
106,69,672,386.189,off_track,83.426,0.3398,0.0933,-0.0742
108,70,61,-50.749,off_track,74.969,0.8122,0.1498,-0.0537
109,71,266,453.673,off_track,114.634,0.3365,0.1079,-0.0272
110,72,655,668.646,off_track,89.427,0.3981,0.0728,-0.0580
112,73,395,303.221,off_track,92.346,0.3929,0.1019,-0.0229
113,74,816,220.980,off_track,81.465,0.3763,0.1214,-0.0720
114,75,325,950.851,off_track,115.353,0.2040,0.2341,-0.0737
116,76,688,1801.675,off_track,126.203,0.3741,0.0822,-0.0651
118,77,47,-67.701,off_track,76.624,0.9125,0.1440,-0.0197
