update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer,crash_s
1,0,57,89.737,backward,78.192,0.2763,0.5322,0.0018,
2,1,276,250.229,off_track,108.521,0.4591,0.1456,0.0016,756.4
3,2,508,433.242,off_track,90.292,0.4896,0.0768,-0.0025,767.7
4,3,753,-43.126,off_track,79.531,0.4222,0.1099,-0.0058,760.9
5,4,305,784.392,off_track,110.328,0.2414,0.1688,-0.0016,421.9
7,5,715,1727.389,off_track,120.858,0.3165,0.1340,0.0008,1504.5
8,6,274,589.254,off_track,106.025,0.2289,0.1755,0.0092,423.5
9,7,497,367.837,off_track,92.165,0.5046,0.0853,0.0105,769.0
10,8,431,-272.981,off_track,60.171,0.3508,0.1032,-0.0135,564.5
