update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer,crash_s
1,0,66,50.172,off_track,112.799,0.4498,0.2106,-0.0049,59.7
2,1,184,333.283,low_progress,109.779,0.3480,0.2668,0.0038,
3,2,56,-14.825,off_track,71.444,0.7732,0.3425,0.0082,557.6
4,3,158,410.958,low_progress,114.014,0.2008,0.2206,0.0198,
5,4,98,10.881,low_progress,73.213,0.6236,0.4922,0.0126,
6,5,195,256.222,off_track,110.219,0.4101,0.2738,0.0143,727.1
7,6,80,-14.980,low_progress,68.534,0.7339,0.4331,-0.0141,
8,7,166,390.156,low_progress,113.785,0.2279,0.2221,0.0166,
