update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer,crash_s
1,0,68,43.431,off_track,113.566,0.4736,0.2007,-0.0057,61.4
2,1,233,349.227,off_track,106.767,0.3694,0.2607,0.0035,742.6
3,2,120,26.350,off_track,68.823,0.6792,0.1358,0.0091,563.0
5,3,114,278.423,low_progress,106.240,0.1689,0.3539,0.0153,
6,4,196,166.334,off_track,112.104,0.5163,0.2064,0.0102,713.9
8,5,150,307.140,off_track,110.088,0.1957,0.1804,0.0158,757.1
9,6,86,-95.512,low_progress,64.382,0.7136,0.5929,0.0105,
12,7,161,237.458,low_progress,93.653,0.2291,0.3197,-0.0043,
14,8,126,283.635,low_progress,96.787,0.2182,0.3670,-0.0059,
15,9,69,-99.345,off_track,83.825,0.7222,0.4852,0.0131,614.4
