update,episode,steps,reward,termination_reason,mean_progress,mean_abs_track_pos,mean_abs_angle,mean_steer,crash_s
1,0,57,89.738,backward,78.195,0.2763,0.5321,0.0018,
1,1,300,1371.143,max_steps,130.938,0.1174,0.0287,-0.0023,
1,2,300,1359.282,max_steps,131.289,0.1248,0.0278,0.0040,
1,3,300,1364.861,max_steps,131.793,0.1219,0.0284,-0.0034,
2,4,197,626.068,off_track,137.536,0.2824,0.0942,-0.0053,223.7
2,5,300,1357.000,max_steps,131.260,0.1258,0.0295,-0.0062,
2,6,300,1375.462,max_steps,131.642,0.1231,0.0265,0.0039,
3,7,290,818.223,off_track,117.436,0.2738,0.2142,0.0020,396.9
3,8,300,1364.033,max_steps,132.002,0.1283,0.0267,0.0104,
3,9,300,1350.909,max_steps,132.142,0.1297,0.0285,0.0056,
4,10,145,313.259,off_track,136.762,0.3439,0.0991,0.0213,236.8
4,11,300,1381.107,max_steps,131.827,0.1208,0.0269,0.0079,
4,12,300,1359.338,max_steps,132.290,0.1314,0.0289,0.0054,
5,13,215,650.156,off_track,115.286,0.2304,0.2747,0.0170,385.8
5,14,300,1359.027,max_steps,132.468,0.1331,0.0272,0.0064,
5,15,300,1360.291,max_steps,132.237,0.1270,0.0271,0.0138,
6,16,300,819.167,max_steps,118.830,0.2496,0.2030,0.0146,
6,17,300,1350.507,max_steps,132.718,0.1350,0.0292,0.0001,
6,18,300,1354.730,max_steps,132.438,0.1298,0.0280,0.0064,
7,19,300,1226.508,max_steps,137.025,0.1554,0.0814,-0.0013,
7,20,300,1375.850,max_steps,132.040,0.1141,0.0281,-0.0005,
7,21,300,1349.898,max_steps,132.083,0.1322,0.0286,0.0044,
8,22,300,1107.074,max_steps,136.897,0.2466,0.0859,0.0089,
8,23,300,1351.509,max_steps,132.657,0.1303,0.0282,-0.0041,
8,24,300,1354.940,max_steps,132.697,0.1313,0.0286,0.0032,
9,25,153,375.119,off_track,138.905,0.3342,0.0933,-0.0037,235.1
9,26,300,1344.802,max_steps,131.501,0.1284,0.0289,-0.0042,
9,27,300,1361.269,max_steps,131.580,0.1170,0.0291,-0.0084,
10,28,300,929.837,max_steps,111.462,0.1681,0.1083,0.0017,
10,29,300,1336.883,max_steps,131.723,0.1319,0.0289,0.0073,
